issueNumber,premium,dice1,dice2,dice3,sum,big_small,odd_even,shape,issue_number
20260817101011179,545,5.0,4.0,5.0,14.0,Big,Even,,20260817101011179
20260817101011178,451,4.0,5.0,1.0,10.0,Small,Even,,20260817101011178
20260817101011177,621,6.0,2.0,1.0,9.0,Small,Odd,,20260817101011177
20260817101011176,256,2.0,5.0,6.0,13.0,Big,Odd,,20260817101011176
20260817101011175,523,5.0,2.0,3.0,10.0,Small,Even,,20260817101011175
20260817101011174,434,4.0,3.0,4.0,11.0,Big,Odd,,20260817101011174
20260817101011173,563,5.0,6.0,3.0,14.0,Big,Even,,20260817101011173
20260817101011172,436,4.0,3.0,6.0,13.0,Big,Odd,,20260817101011172
20260817101011171,232,2.0,3.0,2.0,7.0,Small,Odd,,20260817101011171
20260817101011170,442,4.0,4.0,2.0,10.0,Small,Even,,20260817101011170
